Game,Developer,Publisher,Release date,Sales,Platform,Genre
Super Mario World ,Nintendo EAD,Nintendo,21-Nov-90,20610000,Nintendo Entertainment System (NES),
Super Mario All-Stars ,Nintendo EAD,Nintendo,14-Jul-93,10550000,Nintendo Entertainment System (NES),
Donkey Kong Country ,Rare,Nintendo,21-Nov-94,9300000,Nintendo Entertainment System (NES),
Super Mario Kart ,Nintendo EAD,Nintendo,27-Aug-92,8760000,Nintendo Entertainment System (NES),
Street Fighter II: The World Warrior ,Capcom,Capcom,10-Jun-92,6300000,Nintendo Entertainment System (NES),
Donkey Kong Country 2: Diddy's Kong Quest,Rare,Nintendo,20-Nov-95,5150000,Nintendo Entertainment System (NES),
The Legend of Zelda: A Link to the Past ,Nintendo EAD,Nintendo,21-Nov-91,4610000,Nintendo Entertainment System (NES),
Super Mario World 2: Yoshi's Island ,Nintendo EAD,Nintendo,5-Aug-95,4120000,Nintendo Entertainment System (NES),
Street Fighter II: Hyper Fighting,Capcom,Capcom,11-Jul-93,4100000,Nintendo Entertainment System (NES),
Star Fox ,"Nintendo EAD, Argonaut Software",Nintendo,21-Feb-93,4000000,Nintendo Entertainment System (NES),
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Rare,Nintendo,22-Nov-96,3510000,Nintendo Entertainment System (NES),
Final Fantasy VI,Square,Square,2-Apr-94,3420000,Nintendo Entertainment System (NES),
Killer Instinct ,Rare,Nintendo,30-Aug-95,3200000,Nintendo Entertainment System (NES),
Dragon Quest VI,Heartbeat,Enix,9-Dec-95,3200000,Nintendo Entertainment System (NES),
F-Zero ,Nintendo EAD,Nintendo,21-Nov-90,2850000,Nintendo Entertainment System (NES),
Dragon Quest V,Chunsoft,Enix,27-Sep-92,2800000,Nintendo Entertainment System (NES),
Final Fantasy V,Square,Square,6-Dec-92,2450000,Nintendo Entertainment System (NES),
Mario Paint ,Nintendo R&D1,Nintendo,14-Jul-92,2310000,Nintendo Entertainment System (NES),
Super Mario RPG,Square,Nintendo,9-Mar-96,2140000,Nintendo Entertainment System (NES),
Chrono Trigger,Square,Square,11-Mar-95,2030000,Nintendo Entertainment System (NES),
Pilotwings,Nintendo EAD,Nintendo,21-Dec-90,2000000,Nintendo Entertainment System (NES),
Super Street Fighter II,Capcom,Capcom,25-Jun-94,2000000,Nintendo Entertainment System (NES),
SimCity,Nintendo EAD,Nintendo,26-Apr-91,1980000,Nintendo Entertainment System (NES),
Secret of Mana,Square,Square,6-Aug-93,1830000,Nintendo Entertainment System (NES),
Final Fantasy IV,Square,Square,19-Jul-91,1800000,Nintendo Entertainment System (NES),
Disney's Aladdin,Capcom,Capcom,26-Nov-93,1750000,Nintendo Entertainment System (NES),
Super Puyo Puyo,Compile,Banpresto,10-Dec-93,1700000,Nintendo Entertainment System (NES),
Super Scope 6,Nintendo R&D1,Nintendo,33635,1650000,Nintendo Entertainment System (NES),
Mortal Kombat II,Sculptured Software,Acclaim Entertainment,9-Sep-94,1510000,Nintendo Entertainment System (NES),
Romancing SaGa 2,Square,Square,10-Dec-93,1490000,Nintendo Entertainment System (NES),
Final Fight,Capcom,Capcom,21-Dec-90,1480000,Nintendo Entertainment System (NES),
Dragon Ball Z: Super Butōden,Tose,Bandai,20-Mar-93,1450000,Nintendo Entertainment System (NES),
Kirby Super Star ,HAL Laboratory,Nintendo,21-Mar-96,1440000,Nintendo Entertainment System (NES),
Super Metroid,"Nintendo R&D1, Intelligent Systems",Nintendo,19-Mar-94,1420000,Nintendo Entertainment System (NES),
Dragon Quest III,Heartbeat,Enix,6-Dec-96,1400000,Nintendo Entertainment System (NES),
Romancing SaGa,Square,Square,28-Jan-92,1320000,Nintendo Entertainment System (NES),
Wonder Project J,Almanic Corporation,Enix,9-Dec-94,1300000,Nintendo Entertainment System (NES),
Romancing SaGa 3,Square,Square,11-Nov-95,1300000,Nintendo Entertainment System (NES),
The Lion King,Westwood Studios,Virgin Interactive,8-Dec-94,1270000,Nintendo Entertainment System (NES),
NBA Jam,Iguana Entertainment,Acclaim Entertainment,4-Mar-94,1220000,Nintendo Entertainment System (NES),
Mortal Kombat 3,Sculptured Software,Acclaim Entertainment,13-Oct-95,1220000,Nintendo Entertainment System (NES),
The Magical Quest Starring Mickey Mouse,Capcom,Capcom,20-Nov-92,1210000,Nintendo Entertainment System (NES),
Dragon Quest I & II,Chunsoft,Enix,18-Dec-93,1200000,Nintendo Entertainment System (NES),
Derby Stallion III,ASCII Entertainment,Nintendo,20-Jan-95,1200000,Nintendo Entertainment System (NES),
Mega Man X,Capcom,Capcom,17-Dec-93,1160000,Nintendo Entertainment System (NES),
Dragon Ball Z: Super Butōden 2,Tose,Bandai,17-Dec-93,1150000,Nintendo Entertainment System (NES),
Derby Stallion '96,ASCII Entertainment,Nintendo,15-Mar-96,1100000,Nintendo Entertainment System (NES),
Super Ghouls 'n Ghosts,Capcom,Capcom,4-Oct-91,1090000,Nintendo Entertainment System (NES),
Final Fight 2,Capcom,Capcom,22-May-93,1030000,Nintendo Entertainment System (NES),
Super Mario 64 ,Nintendo EAD,Nintendo,23-Jun-96,11910000,Nintendo 64,
Mario Kart 64,Nintendo EAD,Nintendo,14-Dec-96,9870000,Nintendo 64,
GoldenEye 007 ,Rare,Nintendo,25-Aug-97,8090000,Nintendo 64,
The Legend of Zelda: Ocarina of Time,Nintendo EAD,Nintendo,21-Nov-98,7600000,Nintendo 64,
Super Smash Bros.,HAL Laboratory,Nintendo,21-Jan-99,5550000,Nintendo 64,
Pokémon Stadium ,Nintendo EAD,Nintendo,30-Apr-99,5460000,Nintendo 64,
Donkey Kong 64 ,Rare,Nintendo,22-Nov-99,5270000,Nintendo 64,
Diddy Kong Racing,Rare,Rare,14-Nov-97,4880000,Nintendo 64,
Star Fox 64,Nintendo EAD,Nintendo,27-Apr-97,4000000,Nintendo 64,
Banjo-Kazooie,Rare,Nintendo,29-Jun-98,3650000,Nintendo 64,
Pokémon Snap,"HAL Laboratory, Pax Softonica",Nintendo,21-Mar-99,3630000,Nintendo 64,
The Legend of Zelda: Majora's Mask,Nintendo EAD,Nintendo,27-Apr-00,3360000,Nintendo 64,
Star Wars Episode I: Racer ,LucasArts,LucasArts,30-Apr-99,3100000,Nintendo 64,
Banjo-Tooie,Rare,Nintendo,20-Nov-00,3000000,Nintendo 64,
Wave Race 64,Nintendo EAD,Nintendo,27-Sep-96,2940000,Nintendo 64,
Yoshi's Story,Nintendo EAD,Nintendo,21-Dec-97,2850000,Nintendo 64,
Mario Party,Hudson Soft,Nintendo,18-Dec-98,2700000,Nintendo 64,
Star Wars: Shadows of the Empire,LucasArts,Nintendo,3-Dec-96,2600000,Nintendo 64,
Pokémon Stadium 2,Nintendo EAD,Nintendo,14-Dec-00,2540000,Nintendo 64,
Perfect Dark,Rare,Rare,22-May-00,2520000,Nintendo 64,
Mario Party 2,Hudson Soft,Nintendo,17-Dec-99,2480000,Nintendo 64,
Mario Tennis,Camelot Software Planning,Nintendo,21-Jul-00,2320000,Nintendo 64,
Star Wars: Rogue Squadron,"Factor 5, LucasArts",Nintendo,7-Dec-98,2170000,Nintendo 64,
1080° Snowboarding,Nintendo EAD,Nintendo,28-Feb-98,2030000,Nintendo 64,
Excitebike 64,Left Field Productions,Nintendo,30-Apr-00,2000000,Nintendo 64,
Mario Party 3,Hudson Soft,Nintendo,7-Dec-00,1910000,Nintendo 64,
WCW/nWo Revenge,"AKI Corporation, Asmik Ace Entertainment",THQ,26-Oct-98,1880000,Nintendo 64,
"Hey You, Pikachu!",Ambrella,Nintendo,12-Dec-98,1830000,Nintendo 64,
Kirby 64: The Crystal Shards,HAL Laboratory,Nintendo,24-Mar-00,1770000,Nintendo 64,
Cruis'n USA,Williams,Nintendo,3-Dec-96,1720000,Nintendo 64,
Tony Hawk's Pro Skater,Edge of Reality,Activision,29-Feb-00,1610000,Nintendo 64,
F-1 World Grand Prix,Paradigm Entertainment,Nintendo,31-Jul-98,1600000,Nintendo 64,
Turok: Dinosaur Hunter,Iguana Entertainment,Acclaim Entertainment,4-Mar-97,1500000,Nintendo 64,
Mario Golf,Camelot Software Planning,Nintendo,11-Jun-99,1470000,Nintendo 64,
Turok 2: Seeds of Evil,Iguana Entertainment,Acclaim Entertainment,21-Oct-98,1400000,Nintendo 64,
Paper Mario,Intelligent Systems,Nintendo,11-Aug-00,1370000,Nintendo 64,
